index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,llm,attention_1x1024x64x64x1024xf16,1,1024,64,64,1024,f16,31.00,512.0,8.6592,True
1,llm,attention_1x1024x128x128x1024xf16,1,1024,128,128,1024,f16,38.00,512.0,14.1282,True
2,llm,attention_1x2048x64x64x2048xf16,1,2048,64,64,2048,f16,58.00,1024.0,18.5128,True
3,llm,attention_1x2048x128x128x2048xf16,1,2048,128,128,2048,f16,68.00,1024.0,31.5806,True
4,sdxl_unet,attention_1x4096x64x64x4096xf16,1,4096,64,64,4096,f16,112.00,2048.0,38.3479,True
5,llm,attention_1x4096x128x128x4096xf16,1,4096,128,128,4096,f16,130.00,2048.0,66.0764,True
6,llm,attention_1x8192x64x64x8192xf16,1,8192,64,64,8192,f16,220.00,4096.0,78.0903,True
7,llm,attention_1x8192x128x128x8192xf16,1,8192,128,128,8192,f16,261.00,4096.0,131.6465,True
8,llm,attention_1x16384x64x64x16384xf16,1,16384,64,64,16384,f16,454.00,8192.0,151.3645,True
9,llm,attention_1x16384x128x128x16384xf16,1,16384,128,128,16384,f16,587.00,8192.0,234.1379,True
10,sdxl_unet,attention_2x1024x64x64x1024xf16,2,1024,64,64,1024,f16,31.00,512.0,17.3184,True
11,llm,attention_2x1024x128x128x1024xf16,2,1024,128,128,1024,f16,37.00,512.0,29.0200,True
12,llm,attention_2x2048x64x64x2048xf16,2,2048,64,64,2048,f16,58.00,1024.0,37.0256,True
13,llm,attention_2x2048x128x128x2048xf16,2,2048,128,128,2048,f16,68.00,1024.0,63.1613,True
14,llm,attention_2x4096x64x64x4096xf16,2,4096,64,64,4096,f16,112.00,2048.0,76.6958,True
15,llm,attention_2x4096x128x128x4096xf16,2,4096,128,128,4096,f16,134.00,2048.0,128.2080,True
16,llm,attention_2x8192x64x64x8192xf16,2,8192,64,64,8192,f16,233.00,4096.0,147.4667,True
17,llm,attention_2x8192x128x128x8192xf16,2,8192,128,128,8192,f16,302.00,4096.0,227.5479,True
18,llm,attention_2x16384x64x64x16384xf16,2,16384,64,64,16384,f16,587.00,8192.0,234.1379,True
19,llm,attention_2x16384x128x128x16384xf16,2,16384,128,128,16384,f16,739.00,8192.0,371.9593,True
20,llm,attention_4x1024x64x64x1024xf16,4,1024,64,64,1024,f16,31.00,512.0,34.6368,True
21,llm,attention_4x1024x128x128x1024xf16,4,1024,128,128,1024,f16,37.00,512.0,58.0401,True
22,llm,attention_4x2048x64x64x2048xf16,4,2048,64,64,2048,f16,58.00,1024.0,74.0512,True
23,llm,attention_4x2048x128x128x2048xf16,4,2048,128,128,2048,f16,70.00,1024.0,122.7134,True
24,sdxl_unet,attention_4x4096x64x64x4096xf16,4,4096,64,64,4096,f16,118.00,2048.0,145.5921,True
25,llm,attention_4x4096x128x128x4096xf16,4,4096,128,128,4096,f16,152.00,2048.0,226.0509,True
26,llm,attention_4x8192x64x64x8192xf16,4,8192,64,64,8192,f16,305.00,4096.0,225.3098,True
27,llm,attention_4x8192x128x128x8192xf16,4,8192,128,128,8192,f16,390.00,4096.0,352.4076,True
28,llm,attention_4x16384x64x64x16384xf16,4,16384,64,64,16384,f16,878.00,8192.0,313.0728,True
29,llm,attention_4x16384x128x128x16384xf16,4,16384,128,128,16384,f16,1249.00,8192.0,440.1568,True
30,sdxl_unet,attention_8x1024x64x64x1024xf16,8,1024,64,64,1024,f16,31.00,512.0,69.2737,True
31,llm,attention_8x1024x128x128x1024xf16,8,1024,128,128,1024,f16,39.00,512.0,110.1274,True
32,llm,attention_8x2048x64x64x2048xf16,8,2048,64,64,2048,f16,61.00,1024.0,140.8186,True
33,llm,attention_8x2048x128x128x2048xf16,8,2048,128,128,2048,f16,75.00,1024.0,229.0649,True
34,llm,attention_8x4096x64x64x4096xf16,8,4096,64,64,4096,f16,143.00,2048.0,240.2779,True
35,llm,attention_8x4096x128x128x4096xf16,8,4096,128,128,4096,f16,221.00,2048.0,310.9479,True
36,llm,attention_8x8192x64x64x8192xf16,8,8192,64,64,8192,f16,453.00,4096.0,303.3972,True
37,llm,attention_8x8192x128x128x8192xf16,8,8192,128,128,8192,f16,664.00,4096.0,413.9728,True
38,llm,attention_8x16384x64x64x16384xf16,8,16384,64,64,16384,f16,1598.00,8192.0,344.0274,True
39,llm,attention_8x16384x128x128x16384xf16,8,16384,128,128,16384,f16,2458.00,8192.0,447.3196,True
40,llm,attention_16x1024x64x64x1024xf16,16,1024,64,64,1024,f16,34.00,512.0,126.3226,True
41,llm,attention_16x1024x128x128x1024xf16,16,1024,128,128,1024,f16,40.00,512.0,214.7484,True
42,llm,attention_16x2048x64x64x2048xf16,16,2048,64,64,2048,f16,76.00,1024.0,226.0509,True
43,llm,attention_16x2048x128x128x2048xf16,16,2048,128,128,2048,f16,101.00,1024.0,340.1954,True
44,llm,attention_16x4096x64x64x4096xf16,16,4096,64,64,4096,f16,243.00,2048.0,282.7962,True
45,llm,attention_16x4096x128x128x4096xf16,16,4096,128,128,4096,f16,351.00,2048.0,391.5640,True
46,llm,attention_16x8192x64x64x8192xf16,16,8192,64,64,8192,f16,829.00,4096.0,331.5777,True
47,llm,attention_16x8192x128x128x8192xf16,16,8192,128,128,8192,f16,1267.00,4096.0,433.9036,True
48,llm,attention_16x16384x64x64x16384xf16,16,16384,64,64,16384,f16,2828.00,8192.0,388.7948,True
49,llm,attention_16x16384x128x128x16384xf16,16,16384,128,128,16384,f16,4658.00,8192.0,472.0960,True
50,llm,attention_32x1024x64x64x1024xf16,32,1024,64,64,1024,f16,39.00,512.0,220.2547,True
51,llm,attention_32x1024x128x128x1024xf16,32,1024,128,128,1024,f16,62.00,512.0,277.0947,True
52,llm,attention_32x2048x64x64x2048xf16,32,2048,64,64,2048,f16,121.00,1024.0,283.9648,True
53,llm,attention_32x2048x128x128x2048xf16,32,2048,128,128,2048,f16,184.00,1024.0,373.4754,True
54,llm,attention_32x4096x64x64x4096xf16,32,4096,64,64,4096,f16,434.00,2048.0,316.6796,True
55,llm,attention_32x4096x128x128x4096xf16,32,4096,128,128,4096,f16,679.00,2048.0,404.8276,True
56,llm,attention_32x8192x64x64x8192xf16,32,8192,64,64,8192,f16,1443.00,4096.0,380.9812,True
57,llm,attention_32x8192x128x128x8192xf16,32,8192,128,128,8192,f16,2338.00,4096.0,470.2787,True
58,llm,attention_32x16384x64x64x16384xf16,32,16384,64,64,16384,f16,5657.00,8192.0,388.7260,True
59,llm,attention_32x16384x128x128x16384xf16,32,16384,128,128,16384,f16,9393.00,8192.0,468.2260,True
60,llm,attention_48x1024x64x64x1024xf16,48,1024,64,64,1024,f16,60.00,512.0,214.7484,True
61,llm,attention_48x1024x128x128x1024xf16,48,1024,128,128,1024,f16,95.00,512.0,271.2611,True
62,llm,attention_48x2048x64x64x2048xf16,48,2048,64,64,2048,f16,174.00,1024.0,296.2046,True
63,llm,attention_48x2048x128x128x2048xf16,48,2048,128,128,2048,f16,303.00,1024.0,340.1954,True
64,llm,attention_48x4096x64x64x4096xf16,48,4096,64,64,4096,f16,614.00,2048.0,335.7629,True
65,llm,attention_48x4096x128x128x4096xf16,48,4096,128,128,4096,f16,980.00,2048.0,420.7315,True
66,llm,attention_48x8192x64x64x8192xf16,48,8192,64,64,8192,f16,2155.00,4096.0,382.6607,True
67,llm,attention_48x8192x128x128x8192xf16,48,8192,128,128,8192,f16,3617.00,4096.0,455.9766,True
68,llm,attention_48x16384x64x64x16384xf16,48,16384,64,64,16384,f16,8456.00,8192.0,390.0822,True
69,llm,attention_48x16384x128x128x16384xf16,48,16384,128,128,16384,f16,14167.00,8192.0,465.6646,True
70,llm,attention_64x1024x64x64x1024xf16,64,1024,64,64,1024,f16,66.00,512.0,260.3010,True
71,llm,attention_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,105.00,512.0,327.2356,True
72,llm,attention_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,240.00,1024.0,286.3312,True
73,llm,attention_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,378.00,1024.0,363.5951,True
74,llm,attention_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,764.00,2048.0,359.7878,True
75,llm,attention_64x4096x128x128x4096xf16,64,4096,128,128,4096,f16,1250.00,2048.0,439.8047,True
76,llm,attention_64x8192x64x64x8192xf16,64,8192,64,64,8192,f16,2798.00,4096.0,392.9634,True
77,llm,attention_64x8192x128x128x8192xf16,64,8192,128,128,8192,f16,4729.00,4096.0,465.0081,True
78,llm,attention_64x16384x64x64x16384xf16,64,16384,64,64,16384,f16,10854.00,8192.0,405.2005,True
79,llm,attention_64x16384x128x128x16384xf16,64,16384,128,128,16384,f16,18373.00,8192.0,478.7510,True
80,llm,attention_96x1024x64x64x1024xf16,96,1024,64,64,1024,f16,98.00,512.0,262.9572,True
81,llm,attention_96x1024x128x128x1024xf16,96,1024,128,128,1024,f16,162.00,512.0,318.1457,True
82,llm,attention_96x2048x64x64x2048xf16,96,2048,64,64,2048,f16,331.00,1024.0,311.4176,True
83,llm,attention_96x2048x128x128x2048xf16,96,2048,128,128,2048,f16,541.00,1024.0,381.0692,True
84,llm,attention_96x4096x64x64x4096xf16,96,4096,64,64,4096,f16,1116.00,2048.0,369.4596,True
85,llm,attention_96x4096x128x128x4096xf16,96,4096,128,128,4096,f16,1882.00,2048.0,438.1688,True
86,llm,attention_96x8192x64x64x8192xf16,96,8192,64,64,8192,f16,4219.00,4096.0,390.9143,True
87,llm,attention_96x8192x128x128x8192xf16,96,8192,128,128,8192,f16,7125.00,4096.0,462.9523,True
88,llm,attention_96x16384x64x64x16384xf16,96,16384,64,64,16384,f16,16435.00,8192.0,401.4037,True
89,llm,attention_96x16384x128x128x16384xf16,96,16384,128,128,16384,f16,27946.00,8192.0,472.1298,True
90,llm,attention_128x1024x64x64x1024xf16,128,1024,64,64,1024,f16,131.00,512.0,262.2881,True
91,llm,attention_128x1024x128x128x1024xf16,128,1024,128,128,1024,f16,208.00,512.0,330.3821,True
92,llm,attention_128x2048x64x64x2048xf16,128,2048,64,64,2048,f16,415.00,1024.0,331.1782,True
93,llm,attention_128x2048x128x128x2048xf16,128,2048,128,128,2048,f16,709.00,1024.0,387.6980,True
94,llm,attention_128x4096x64x64x4096xf16,128,4096,64,64,4096,f16,1462.00,2048.0,376.0300,True
95,llm,attention_128x4096x128x128x4096xf16,128,4096,128,128,4096,f16,2463.00,2048.0,446.4115,True
96,llm,attention_128x8192x64x64x8192xf16,128,8192,64,64,8192,f16,5516.00,4096.0,398.6627,True
97,llm,attention_128x8192x128x128x8192xf16,128,8192,128,128,8192,f16,9331.00,4096.0,471.3371,True
98,llm,attention_128x16384x64x64x16384xf16,128,16384,64,64,16384,f16,21768.00,8192.0,404.0837,True
220,sdxl_unet,attention_1x4096x64x64x64xf16,1,4096,64,64,64,f16,5.00,63.0154,13.4218,True
221,sdxl_unet,attention_2x1024x64x64x64xf16,2,1024,64,64,64,f16,5.00,60.2353,6.7109,True
222,sdxl_unet,attention_4x4096x64x64x64xf16,4,4096,64,64,64,f16,5.00,63.0154,53.6871,True
223,sdxl_unet,attention_8x1024x64x64x64xf16,8,1024,64,64,64,f16,6.00,60.2353,22.3696,True
224,sdxl_unet,attention_20x4096x64x64x4096xf16,20,4096,64,64,4096,f16,306.00,2048.0,280.7168,True
225,sdxl_unet,attention_20x4096x64x64x64xf16,20,4096,64,64,64,f16,5.00,63.0154,268.4355,True
226,sdxl_unet,attention_40x1024x64x64x1024xf16,40,1024,64,64,1024,f16,57.00,512.0,188.3758,True
227,sdxl_unet,attention_40x1024x64x64x64xf16,40,1024,64,64,64,f16,5.00,60.2353,134.2177,True
236,bert,attention_12x384x64x64x384xf16,12,384,64,64,384,f16,14.00,192.0,32.3561,True
237,bert,attention_768x4096x64x64x64xf16,768,4096,64,64,64,f16,9.00,63.0154,76.37,True
240,llama3_405b,attention_512x1024x128x128x1024xf16,512,1024,128,128,1024,f16,839.00,512.0,327.6256,True
241,llama3_405b,attention_512x2048x128x128x2048xf16,512,2048,128,128,2048,f16,2633.00,1024.0,417.5889,True
242,llama3_405b,attention_512x3072x128x128x3072xf16,512,3072,128,128,3072,f16,5633.00,1536.0,439.1800,True
243,llama3_405b,attention_512x4096x128x128x4096xf16,512,4096,128,128,4096,f16,9713.0,2048.0,452.8000,True
244,llama3_405b,attention_512x5120x128x128x5120xf16,512,5120,128,128,5120,f16,15049.0,2560.0,456.6300,True
245,llama3_405b,attention_512x6144x128x128x6144xf16,512,6144,128,128,6144,f16,21423.0,3072.0,461.9100,True
246,llama3_405b,attention_512x7168x128x128x7168xf16,512,7168,128,128,7168,f16,29218.0,3584.0,460.9800,True
247,llama3_405b,attention_512x8192x128x128x8192xf16,512,8192,128,128,8192,f16,37787.0,4096.0,465.5600,True
248,llama3_405b,attention_512x1024x128x128x1024xf8E4M3FNUZ,512,1024,128,128,1024,f8E4M3FNUZ,513.00,1024.0,536.2000,True
249,llama3_405b,attention_512x2048x128x128x2048xf8E4M3FNUZ,512,2048,128,128,2048,f8E4M3FNUZ,1674.00,2048.0,656.8900,True
250,llama3_405b,attention_512x3072x128x128x3072xf8E4M3FNUZ,512,3072,128,128,3072,f8E4M3FNUZ,3574.00,3072.0,692.1500,True
251,llama3_405b,attention_512x4096x128x128x4096xf8E4M3FNUZ,512,4096,128,128,4096,f8E4M3FNUZ,6191.00,4096.0,710.4200,True
252,llama3_405b,attention_512x5120x128x128x5120xf8E4M3FNUZ,512,5120,128,128,5120,f8E4M3FNUZ,9620.00,5120.0,714.3200,True
253,llama3_405b,attention_512x6144x128x128x6144xf8E4M3FNUZ,512,6144,128,128,6144,f8E4M3FNUZ,13649.0,6144.0,724.9900,True
254,llama3_405b,attention_512x7168x128x128x7168xf8E4M3FNUZ,512,7168,128,128,7168,f8E4M3FNUZ,18603.0,7168.0,724.0100,True
255,llama3_405b,attention_512x8192x128x128x8192xf8E4M3FNUZ,512,8192,128,128,8192,f8E4M3FNUZ,24021.0,8192.0,732.3600,True
