index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,ok
0,resnet_sweep,conv_2d_nchw_fchw_1x112x112x64x7x7x3_f32xf32xf32_stride2,1,112,112,64,7,7,3,2,f32,f32,155.131,17.19,1.5215,True
1,resnet_sweep,conv_2d_nchw_fchw_1x56x56x64x3x3x64_f32xf32xf32_stride1,1,56,56,64,3,3,64,1,f32,f32,149.5679,127.6382,1.5459,True
2,resnet_sweep,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f32xf32xf32_stride2,1,28,28,128,3,3,128,2,f32,f32,149.9653,85.2045,1.5418,True
3,resnet_sweep,conv_2d_nchw_fchw_1x28x28x512x1x1x256_f32xf32xf32_stride2,1,28,28,512,1,1,256,2,f32,f32,146.4685,26.5201,1.4032,True
4,resnet_sweep,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f32xf32xf32_stride1,1,28,28,128,3,3,128,1,f32,f32,159.9789,159.2327,1.4453,True
5,resnet_sweep,conv_2d_nchw_fchw_1x14x14x256x3x3x256_f32xf32xf32_stride2,1,14,14,256,3,3,256,2,f32,f32,151.6342,66.4094,1.5248,True
6,resnet_sweep,conv_2d_nchw_fchw_1x14x14x1024x1x1x512_f32xf32xf32_stride2,1,14,14,1024,1,1,512,2,f32,f32,154.7337,35.9943,1.3282,True
7,resnet_sweep,conv_2d_nchw_fchw_1x14x14x256x3x3x256_f32xf32xf32_stride1,1,14,14,256,3,3,256,1,f32,f32,204.2452,81.9274,1.132,True
8,resnet_sweep,conv_2d_nchw_fchw_1x7x7x512x3x3x512_f32xf32xf32_stride2,1,7,7,512,3,3,512,2,f32,f32,131.766,22.979,1.7547,True
9,resnet_sweep,conv_2d_nchw_fchw_1x7x7x2048x1x1x1024_f32xf32xf32_stride2,1,7,7,2048,1,1,1024,2,f32,f32,133.0376,20.1591,1.5448,True
10,resnet_sweep,conv_2d_nchw_fchw_1x7x7x512x3x3x512_f32xf32xf32_stride1,1,7,7,512,3,3,512,1,f32,f32,143.6869,23.8278,1.6091,True
11,resnet_sweep,conv_2d_nchw_fchw_2x112x112x64x7x7x3_f32xf32xf32_stride2,2,112,112,64,7,7,3,2,f32,f32,393.788,17.2136,1.1988,True
12,resnet_sweep,conv_2d_nchw_fchw_2x56x56x64x3x3x64_f32xf32xf32_stride1,2,56,56,64,3,3,64,1,f32,f32,222.0472,133.0536,2.0825,True
13,resnet_sweep,conv_2d_nchw_fchw_2x28x28x128x3x3x128_f32xf32xf32_stride2,2,28,28,128,3,3,128,2,f32,f32,141.3027,95.5936,3.2726,True
14,resnet_sweep,conv_2d_nchw_fchw_2x28x28x512x1x1x256_f32xf32xf32_stride2,2,28,28,512,1,1,256,2,f32,f32,128.9845,27.4486,3.1868,True
15,resnet_sweep,conv_2d_nchw_fchw_2x28x28x128x3x3x128_f32xf32xf32_stride1,2,28,28,128,3,3,128,1,f32,f32,136.5344,199.8159,3.3869,True
16,resnet_sweep,conv_2d_nchw_fchw_2x14x14x256x3x3x256_f32xf32xf32_stride2,2,14,14,256,3,3,256,2,f32,f32,135.0244,100.4413,3.4247,True
17,resnet_sweep,conv_2d_nchw_fchw_2x14x14x1024x1x1x512_f32xf32xf32_stride2,2,14,14,1024,1,1,512,2,f32,f32,153.1442,44.0914,2.684,True
18,resnet_sweep,conv_2d_nchw_fchw_2x14x14x256x3x3x256_f32xf32xf32_stride1,2,14,14,256,3,3,256,1,f32,f32,88.2943,140.7681,5.2373,True
19,resnet_sweep,conv_2d_nchw_fchw_2x7x7x512x3x3x512_f32xf32xf32_stride2,2,7,7,512,3,3,512,2,f32,f32,87.8175,43.2718,5.2657,True
20,resnet_sweep,conv_2d_nchw_fchw_2x7x7x2048x1x1x1024_f32xf32xf32_stride2,2,7,7,2048,1,1,1024,2,f32,f32,84.3207,34.2498,4.8747,True
21,resnet_sweep,conv_2d_nchw_fchw_2x7x7x512x3x3x512_f32xf32xf32_stride1,2,7,7,512,3,3,512,1,f32,f32,86.7049,46.3829,5.3333,True
22,resnet_sweep,conv_2d_nchw_fchw_4x112x112x64x7x7x3_f32xf32xf32_stride2,4,112,112,64,7,7,3,2,f32,f32,298.4206,17.2254,3.1637,True
23,resnet_sweep,conv_2d_nchw_fchw_4x56x56x64x3x3x64_f32xf32xf32_stride1,4,56,56,64,3,3,64,1,f32,f32,67.3135,135.9374,13.7394,True
24,resnet_sweep,conv_2d_nchw_fchw_4x28x28x128x3x3x128_f32xf32xf32_stride2,4,28,28,128,3,3,128,2,f32,f32,87.4996,101.7998,10.5697,True
25,resnet_sweep,conv_2d_nchw_fchw_4x28x28x512x1x1x256_f32xf32xf32_stride2,4,28,28,512,1,1,256,2,f32,f32,115.9509,27.9376,7.0899,True
26,resnet_sweep,conv_2d_nchw_fchw_4x28x28x128x3x3x128_f32xf32xf32_stride1,4,28,28,128,3,3,128,1,f32,f32,181.675,228.998,5.0907,True
27,resnet_sweep,conv_2d_nchw_fchw_4x14x14x256x3x3x256_f32xf32xf32_stride2,4,14,14,256,3,3,256,2,f32,f32,91.3938,135.0431,10.1193,True
28,resnet_sweep,conv_2d_nchw_fchw_4x14x14x1024x1x1x512_f32xf32xf32_stride2,4,14,14,1024,1,1,512,2,f32,f32,112.6925,49.6792,7.2949,True
29,resnet_sweep,conv_2d_nchw_fchw_4x14x14x256x3x3x256_f32xf32xf32_stride1,4,14,14,256,3,3,256,1,f32,f32,87.8175,219.642,10.5314,True
30,resnet_sweep,conv_2d_nchw_fchw_4x7x7x512x3x3x512_f32xf32xf32_stride2,4,7,7,512,3,3,512,2,f32,f32,88.3738,77.4852,10.4651,True
31,resnet_sweep,conv_2d_nchw_fchw_4x7x7x2048x1x1x1024_f32xf32xf32_stride2,4,7,7,2048,1,1,1024,2,f32,f32,84.3207,52.6506,9.7495,True
32,resnet_sweep,conv_2d_nchw_fchw_4x7x7x512x3x3x512_f32xf32xf32_stride1,4,7,7,512,3,3,512,1,f32,f32,95.8443,88.0624,9.6494,True
33,resnet_sweep,conv_2d_nchw_fchw_8x112x112x64x7x7x3_f32xf32xf32_stride2,8,112,112,64,7,7,3,2,f32,f32,491.2217,17.2313,3.8439,True
34,resnet_sweep,conv_2d_nchw_fchw_8x56x56x64x3x3x64_f32xf32xf32_stride1,8,56,56,64,3,3,64,1,f32,f32,73.9892,137.4267,24.9994,True
35,resnet_sweep,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f32xf32xf32_stride2,8,28,28,128,3,3,128,2,f32,f32,98.0695,105.2153,18.861,True
36,resnet_sweep,conv_2d_nchw_fchw_8x28x28x512x1x1x256_f32xf32xf32_stride2,8,28,28,512,1,1,256,2,f32,f32,111.9773,28.1888,14.683,True
37,resnet_sweep,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f32xf32xf32_stride1,8,28,28,128,3,3,128,1,f32,f32,72.3998,247.0372,25.5483,True
38,resnet_sweep,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f32xf32xf32_stride2,8,14,14,256,3,3,256,2,f32,f32,92.9832,163.1445,19.8927,True
39,resnet_sweep,conv_2d_nchw_fchw_8x14x14x1024x1x1x512_f32xf32xf32_stride2,8,14,14,1024,1,1,512,2,f32,f32,115.1562,53.0402,14.2777,True
40,resnet_sweep,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f32xf32xf32_stride1,8,14,14,256,3,3,256,1,f32,f32,94.1753,305.1243,19.6409,True
41,resnet_sweep,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f32xf32xf32_stride2,8,7,7,512,3,3,512,2,f32,f32,98.5463,128.1453,18.7697,True
42,resnet_sweep,conv_2d_nchw_fchw_8x7x7x2048x1x1x1024_f32xf32xf32_stride2,8,7,7,2048,1,1,1024,2,f32,f32,114.3614,71.9885,14.3769,True
43,resnet_sweep,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f32xf32xf32_stride1,8,7,7,512,3,3,512,1,f32,f32,98.2285,159.9093,18.8305,True
44,resnet_sweep,conv_2d_nchw_fchw_16x112x112x64x7x7x3_f32xf32xf32_stride2,16,112,112,64,7,7,3,2,f32,f32,763.4163,17.2343,4.9468,True
45,resnet_sweep,conv_2d_nchw_fchw_16x56x56x64x3x3x64_f32xf32xf32_stride1,16,56,56,64,3,3,64,1,f32,f32,95.3674,138.1836,38.7908,True
46,resnet_sweep,conv_2d_nchw_fchw_16x28x28x128x3x3x128_f32xf32xf32_stride2,16,28,28,128,3,3,128,2,f32,f32,163.873,107.0104,22.5746,True
47,resnet_sweep,conv_2d_nchw_fchw_16x28x28x512x1x1x256_f32xf32xf32_stride2,16,28,28,512,1,1,256,2,f32,f32,128.1897,28.316,25.6521,True
48,resnet_sweep,conv_2d_nchw_fchw_16x28x28x128x3x3x128_f32xf32xf32_stride1,16,28,28,128,3,3,128,1,f32,f32,104.5068,257.1663,35.3984,True
49,resnet_sweep,conv_2d_nchw_fchw_16x14x14x256x3x3x256_f32xf32xf32_stride2,16,14,14,256,3,3,256,2,f32,f32,152.0316,182.0903,24.3329,True
50,resnet_sweep,conv_2d_nchw_fchw_16x14x14x1024x1x1x512_f32xf32xf32_stride2,16,14,14,1024,1,1,512,2,f32,f32,119.8451,54.8972,27.4382,True
51,resnet_sweep,conv_2d_nchw_fchw_16x14x14x256x3x3x256_f32xf32xf32_stride1,16,14,14,256,3,3,256,1,f32,f32,104.5863,378.8456,35.3715,True
52,resnet_sweep,conv_2d_nchw_fchw_16x7x7x512x3x3x512_f32xf32xf32_stride2,16,7,7,512,3,3,512,2,f32,f32,157.1178,190.3811,23.5452,True
53,resnet_sweep,conv_2d_nchw_fchw_16x7x7x2048x1x1x1024_f32xf32xf32_stride2,16,7,7,2048,1,1,1024,2,f32,f32,120.3219,88.1828,27.3295,True
54,resnet_sweep,conv_2d_nchw_fchw_16x7x7x512x3x3x512_f32xf32xf32_stride1,16,7,7,512,3,3,512,1,f32,f32,151.2369,270.0861,24.4608,True
55,resnet_sweep,conv_2d_nchw_fchw_32x112x112x64x7x7x3_f32xf32xf32_stride2,32,112,112,64,7,7,3,2,f32,f32,1336.0977,17.2357,5.6529,True
56,resnet_sweep,conv_2d_nchw_fchw_32x56x56x64x3x3x64_f32xf32xf32_stride1,32,56,56,64,3,3,64,1,f32,f32,161.4889,138.5652,45.8159,True
57,resnet_sweep,conv_2d_nchw_fchw_32x28x28x128x3x3x128_f32xf32xf32_stride2,32,28,28,128,3,3,128,2,f32,f32,242.1538,107.9312,30.5539,True
58,resnet_sweep,conv_2d_nchw_fchw_32x28x28x512x1x1x256_f32xf32xf32_stride2,32,28,28,512,1,1,256,2,f32,f32,207.8215,28.3801,31.6458,True
59,resnet_sweep,conv_2d_nchw_fchw_32x28x28x128x3x3x128_f32xf32xf32_stride1,32,28,28,128,3,3,128,1,f32,f32,159.1841,262.5488,46.4792,True
60,resnet_sweep,conv_2d_nchw_fchw_32x14x14x256x3x3x256_f32xf32xf32_stride2,32,14,14,256,3,3,256,2,f32,f32,200.1921,193.3151,36.9583,True
61,resnet_sweep,conv_2d_nchw_fchw_32x14x14x1024x1x1x512_f32xf32xf32_stride2,32,14,14,1024,1,1,512,2,f32,f32,171.3435,55.8753,38.383,True
62,resnet_sweep,conv_2d_nchw_fchw_32x14x14x256x3x3x256_f32xf32xf32_stride1,32,14,14,256,3,3,256,1,f32,f32,162.6809,430.9008,45.4801,True
63,resnet_sweep,conv_2d_nchw_fchw_32x7x7x512x3x3x512_f32xf32xf32_stride2,32,7,7,512,3,3,512,2,f32,f32,476.5193,251.4388,15.5267,True
64,resnet_sweep,conv_2d_nchw_fchw_32x7x7x2048x1x1x1024_f32xf32xf32_stride2,32,7,7,2048,1,1,1024,2,f32,f32,360.5684,99.3584,18.2397,True
65,resnet_sweep,conv_2d_nchw_fchw_32x7x7x512x3x3x512_f32xf32xf32_stride1,32,7,7,512,3,3,512,1,f32,f32,443.697,412.0292,16.6752,True
66,resnet_sweep,conv_2d_nchw_fchw_48x112x112x64x7x7x3_f32xf32xf32_stride2,48,112,112,64,7,7,3,2,f32,f32,2322.6738,17.2362,4.8777,True
67,resnet_sweep,conv_2d_nchw_fchw_48x56x56x64x3x3x64_f32xf32xf32_stride1,48,56,56,64,3,3,64,1,f32,f32,495.9901,138.6929,22.3757,True
68,resnet_sweep,conv_2d_nchw_fchw_48x28x28x128x3x3x128_f32xf32xf32_stride2,48,28,28,128,3,3,128,2,f32,f32,493.9238,108.2416,22.4693,True
69,resnet_sweep,conv_2d_nchw_fchw_48x28x28x512x1x1x256_f32xf32xf32_stride2,48,28,28,512,1,1,256,2,f32,f32,719.8652,28.4015,13.704,True
70,resnet_sweep,conv_2d_nchw_fchw_48x28x28x128x3x3x128_f32xf32xf32_stride1,48,28,28,128,3,3,128,1,f32,f32,476.5193,264.3934,23.29,True
71,resnet_sweep,conv_2d_nchw_fchw_48x14x14x256x3x3x256_f32xf32xf32_stride2,48,14,14,256,3,3,256,2,f32,f32,622.5109,197.3706,17.828,True
72,resnet_sweep,conv_2d_nchw_fchw_48x14x14x1024x1x1x512_f32xf32xf32_stride2,48,14,14,1024,1,1,512,2,f32,f32,436.8623,56.2091,22.5815,True
73,resnet_sweep,conv_2d_nchw_fchw_48x14x14x256x3x3x256_f32xf32xf32_stride1,48,14,14,256,3,3,256,1,f32,f32,455.6179,451.584,24.3584,True
74,resnet_sweep,conv_2d_nchw_fchw_48x7x7x512x3x3x512_f32xf32xf32_stride2,48,7,7,512,3,3,512,2,f32,f32,634.8292,281.5362,17.4821,True
75,resnet_sweep,conv_2d_nchw_fchw_48x7x7x2048x1x1x1024_f32xf32xf32_stride2,48,7,7,2048,1,1,1024,2,f32,f32,402.1327,103.7409,24.5317,True
76,resnet_sweep,conv_2d_nchw_fchw_48x7x7x512x3x3x512_f32xf32xf32_stride1,48,7,7,512,3,3,512,1,f32,f32,538.9849,499.5398,20.5908,True
